01-07-2016 18:06:03.013 [Thread-5] AIInputHandler:285 handle - Wood: 0, CLay: 0, ORE: 0, SHEEP: 0, CORN: 0
01-07-2016 18:06:11.343 [Thread-5] AIInputHandler:285 handle - Wood: 0, CLay: 0, ORE: 1, SHEEP: 0, CORN: 5
01-07-2016 18:06:11.385 [Thread-5] AIInputHandler:285 handle - Wood: 0, CLay: 0, ORE: 1, SHEEP: 0, CORN: 5
01-07-2016 18:06:11.556 [Thread-5] AIInputHandler:285 handle - Wood: 4, CLay: 0, ORE: 1, SHEEP: 0, CORN: 5
01-07-2016 18:06:11.605 [Thread-5] AIInputHandler:285 handle - Wood: 4, CLay: 0, ORE: 1, SHEEP: 2, CORN: 5
01-07-2016 18:06:11.648 [Thread-5] AIInputHandler:285 handle - Wood: 4, CLay: 0, ORE: 0, SHEEP: 1, CORN: 4
01-07-2016 18:06:11.683 [Thread-5] AIInputHandler:285 handle - Wood: 4, CLay: 0, ORE: 0, SHEEP: 1, CORN: 4
01-07-2016 18:06:11.883 [Thread-5] AIInputHandler:285 handle - Wood: 6, CLay: 0, ORE: 0, SHEEP: 1, CORN: 5
01-07-2016 18:06:11.924 [Thread-5] AIInputHandler:285 handle - Wood: 6, CLay: 0, ORE: 0, SHEEP: 1, CORN: 5
01-07-2016 18:06:11.964 [Thread-5] AIInputHandler:285 handle - Wood: 0, CLay: 0, ORE: 0, SHEEP: 1, CORN: 5
01-07-2016 18:06:12.006 [Thread-5] AIInputHandler:285 handle - Wood: 0, CLay: 0, ORE: 0, SHEEP: 1, CORN: 5
01-07-2016 18:06:12.047 [Thread-5] AIInputHandler:285 handle - Wood: 0, CLay: 0, ORE: 0, SHEEP: 1, CORN: 5
01-07-2016 18:06:12.084 [Thread-5] AIInputHandler:285 handle - Wood: 2, CLay: 0, ORE: 1, SHEEP: 0, CORN: 2
01-07-2016 18:06:12.128 [Thread-5] AIInputHandler:285 handle - Wood: 2, CLay: 1, ORE: 1, SHEEP: 0, CORN: 3
01-07-2016 18:06:12.328 [Thread-5] AIInputHandler:285 handle - Wood: 2, CLay: 0, ORE: 0, SHEEP: 1, CORN: 5
01-07-2016 18:06:12.369 [Thread-5] AIInputHandler:285 handle - Wood: 2, CLay: 0, ORE: 0, SHEEP: 1, CORN: 6
01-07-2016 18:06:12.410 [Thread-5] AIInputHandler:285 handle - Wood: 1, CLay: 0, ORE: 1, SHEEP: 0, CORN: 3
01-07-2016 18:06:12.610 [Thread-5] AIInputHandler:285 handle - Wood: 2, CLay: 0, ORE: 0, SHEEP: 3, CORN: 7
01-07-2016 18:06:12.651 [Thread-5] AIInputHandler:285 handle - Wood: 2, CLay: 0, ORE: 0, SHEEP: 3, CORN: 7
01-07-2016 18:06:12.691 [Thread-5] AIInputHandler:285 handle - Wood: 1, CLay: 1, ORE: 1, SHEEP: 0, CORN: 4
01-07-2016 18:06:12.900 [Thread-5] AIInputHandler:285 handle - Wood: 4, CLay: 0, ORE: 0, SHEEP: 3, CORN: 8
01-07-2016 18:06:12.940 [Thread-5] AIInputHandler:285 handle - Wood: 4, CLay: 0, ORE: 0, SHEEP: 3, CORN: 8
01-07-2016 18:06:12.979 [Thread-5] AIInputHandler:285 handle - Wood: 4, CLay: 0, ORE: 0, SHEEP: 3, CORN: 8
01-07-2016 18:06:13.145 [Thread-5] AIInputHandler:285 handle - Wood: 8, CLay: 0, ORE: 0, SHEEP: 3, CORN: 8
01-07-2016 18:06:13.185 [Thread-5] AIInputHandler:285 handle - Wood: 8, CLay: 0, ORE: 0, SHEEP: 3, CORN: 8
01-07-2016 18:06:13.224 [Thread-5] AIInputHandler:285 handle - Wood: 8, CLay: 0, ORE: 0, SHEEP: 3, CORN: 8
01-07-2016 18:06:13.264 [Thread-5] AIInputHandler:285 handle - Wood: 8, CLay: 0, ORE: 0, SHEEP: 3, CORN: 8
01-07-2016 18:06:13.618 [Thread-5] AIInputHandler:285 handle - Wood: 0, CLay: 0, ORE: 0, SHEEP: 2, CORN: 8
01-07-2016 18:06:13.831 [Thread-5] AIInputHandler:285 handle - Wood: 0, CLay: 0, ORE: 0, SHEEP: 2, CORN: 9
01-07-2016 18:06:13.871 [Thread-5] AIInputHandler:285 handle - Wood: 0, CLay: 0, ORE: 0, SHEEP: 2, CORN: 9
01-07-2016 18:06:13.910 [Thread-5] AIInputHandler:285 handle - Wood: 0, CLay: 0, ORE: 0, SHEEP: 0, CORN: 6
01-07-2016 18:06:13.994 [Thread-5] AIInputHandler:285 handle - Wood: 1, CLay: 0, ORE: 1, SHEEP: 0, CORN: 5
01-07-2016 18:06:14.038 [Thread-5] AIInputHandler:285 handle - Wood: 1, CLay: 0, ORE: 1, SHEEP: 0, CORN: 5
01-07-2016 18:06:14.167 [Thread-5] AIInputHandler:285 handle - Wood: 0, CLay: 0, ORE: 0, SHEEP: 0, CORN: 7
01-07-2016 18:06:14.251 [Thread-5] AIInputHandler:285 handle - Wood: 1, CLay: 0, ORE: 2, SHEEP: 1, CORN: 5
01-07-2016 18:06:14.292 [Thread-5] AIInputHandler:285 handle - Wood: 1, CLay: 0, ORE: 2, SHEEP: 1, CORN: 5
01-07-2016 18:06:14.502 [Thread-5] AIInputHandler:285 handle - Wood: 2, CLay: 0, ORE: 0, SHEEP: 2, CORN: 7
01-07-2016 18:06:14.542 [Thread-5] AIInputHandler:285 handle - Wood: 2, CLay: 0, ORE: 0, SHEEP: 2, CORN: 7
01-07-2016 18:06:14.582 [Thread-5] AIInputHandler:285 handle - Wood: 2, CLay: 0, ORE: 1, SHEEP: 0, CORN: 4
01-07-2016 18:06:14.784 [Thread-5] AIInputHandler:285 handle - Wood: 2, CLay: 0, ORE: 0, SHEEP: 2, CORN: 7
01-07-2016 18:06:14.825 [Thread-5] AIInputHandler:285 handle - Wood: 4, CLay: 0, ORE: 0, SHEEP: 2, CORN: 7
01-07-2016 18:06:14.864 [Thread-5] AIInputHandler:285 handle - Wood: 4, CLay: 0, ORE: 0, SHEEP: 2, CORN: 7
01-07-2016 18:06:15.103 [Thread-5] AIInputHandler:285 handle - Wood: 6, CLay: 0, ORE: 0, SHEEP: 2, CORN: 7
01-07-2016 18:06:15.144 [Thread-5] AIInputHandler:285 handle - Wood: 8, CLay: 0, ORE: 0, SHEEP: 2, CORN: 7
01-07-2016 18:06:15.183 [Thread-5] AIInputHandler:285 handle - Wood: 8, CLay: 0, ORE: 0, SHEEP: 2, CORN: 7
01-07-2016 18:06:15.225 [Thread-5] AIInputHandler:285 handle - Wood: 8, CLay: 0, ORE: 0, SHEEP: 2, CORN: 7
01-07-2016 18:06:15.264 [Thread-5] AIInputHandler:285 handle - Wood: 0, CLay: 0, ORE: 0, SHEEP: 2, CORN: 7
01-07-2016 18:06:15.469 [Thread-5] AIInputHandler:285 handle - Wood: 0, CLay: 0, ORE: 0, SHEEP: 2, CORN: 8
01-07-2016 18:06:15.511 [Thread-5] AIInputHandler:285 handle - Wood: 0, CLay: 0, ORE: 0, SHEEP: 2, CORN: 8
01-07-2016 18:06:15.556 [Thread-5] AIInputHandler:285 handle - Wood: 0, CLay: 0, ORE: 0, SHEEP: 0, CORN: 5
01-07-2016 18:06:15.564 [Thread-5] AIInputHandler:285 handle - Wood: 0, CLay: 0, ORE: 0, SHEEP: 0, CORN: 5
01-07-2016 18:06:15.606 [Thread-5] AIInputHandler:285 handle - Wood: 0, CLay: 0, ORE: 0, SHEEP: 0, CORN: 5
01-07-2016 18:06:15.646 [Thread-5] AIInputHandler:285 handle - Wood: 0, CLay: 0, ORE: 0, SHEEP: 0, CORN: 5
01-07-2016 18:06:15.815 [Thread-5] AIInputHandler:285 handle - Wood: 2, CLay: 0, ORE: 0, SHEEP: 0, CORN: 5
01-07-2016 18:06:15.860 [Thread-5] AIInputHandler:285 handle - Wood: 2, CLay: 0, ORE: 0, SHEEP: 0, CORN: 6
01-07-2016 18:06:15.901 [Thread-5] AIInputHandler:285 handle - Wood: 2, CLay: 0, ORE: 0, SHEEP: 0, CORN: 6
01-07-2016 18:06:15.943 [Thread-5] AIInputHandler:285 handle - Wood: 2, CLay: 0, ORE: 0, SHEEP: 0, CORN: 6
01-07-2016 18:06:15.983 [Thread-5] AIInputHandler:285 handle - Wood: 0, CLay: 0, ORE: 0, SHEEP: 0, CORN: 4
01-07-2016 18:06:16.147 [Thread-5] AIInputHandler:285 handle - Wood: 0, CLay: 0, ORE: 0, SHEEP: 0, CORN: 4
01-07-2016 18:06:16.192 [Thread-5] AIInputHandler:285 handle - Wood: 0, CLay: 0, ORE: 0, SHEEP: 0, CORN: 5
01-07-2016 18:06:16.231 [Thread-5] AIInputHandler:285 handle - Wood: 0, CLay: 0, ORE: 0, SHEEP: 0, CORN: 5
01-07-2016 18:06:16.432 [Thread-5] AIInputHandler:285 handle - Wood: 2, CLay: 0, ORE: 0, SHEEP: 0, CORN: 6
01-07-2016 18:06:16.472 [Thread-5] AIInputHandler:285 handle - Wood: 4, CLay: 0, ORE: 0, SHEEP: 0, CORN: 6
01-07-2016 18:06:16.512 [Thread-5] AIInputHandler:285 handle - Wood: 4, CLay: 0, ORE: 0, SHEEP: 0, CORN: 6
01-07-2016 18:06:16.556 [Thread-5] AIInputHandler:285 handle - Wood: 4, CLay: 0, ORE: 0, SHEEP: 0, CORN: 6
01-07-2016 18:06:16.595 [Thread-5] AIInputHandler:285 handle - Wood: 0, CLay: 0, ORE: 0, SHEEP: 0, CORN: 5
01-07-2016 18:06:16.764 [Thread-5] AIInputHandler:285 handle - Wood: 0, CLay: 0, ORE: 0, SHEEP: 0, CORN: 5
01-07-2016 18:06:16.806 [Thread-5] AIInputHandler:285 handle - Wood: 0, CLay: 0, ORE: 0, SHEEP: 0, CORN: 5
01-07-2016 18:06:16.846 [Thread-5] AIInputHandler:285 handle - Wood: 0, CLay: 0, ORE: 0, SHEEP: 0, CORN: 5
01-07-2016 18:06:17.011 [Thread-5] AIInputHandler:285 handle - Wood: 2, CLay: 0, ORE: 0, SHEEP: 0, CORN: 5
01-07-2016 18:06:17.052 [Thread-5] AIInputHandler:285 handle - Wood: 2, CLay: 0, ORE: 0, SHEEP: 0, CORN: 5
01-07-2016 18:06:17.092 [Thread-5] AIInputHandler:285 handle - Wood: 2, CLay: 0, ORE: 0, SHEEP: 0, CORN: 5
01-07-2016 18:06:17.130 [Thread-5] AIInputHandler:285 handle - Wood: 2, CLay: 0, ORE: 0, SHEEP: 0, CORN: 5
01-07-2016 18:06:17.299 [Thread-5] AIInputHandler:285 handle - Wood: 4, CLay: 0, ORE: 2, SHEEP: 0, CORN: 5
01-07-2016 18:06:17.339 [Thread-5] AIInputHandler:285 handle - Wood: 4, CLay: 0, ORE: 2, SHEEP: 0, CORN: 5
01-07-2016 18:06:17.380 [Thread-5] AIInputHandler:285 handle - Wood: 4, CLay: 0, ORE: 2, SHEEP: 0, CORN: 5
01-07-2016 18:06:17.590 [Thread-5] AIInputHandler:285 handle - Wood: 4, CLay: 0, ORE: 2, SHEEP: 0, CORN: 5
01-07-2016 18:06:17.630 [Thread-5] AIInputHandler:285 handle - Wood: 4, CLay: 0, ORE: 4, SHEEP: 0, CORN: 5
01-07-2016 18:06:17.672 [Thread-5] AIInputHandler:285 handle - Wood: 4, CLay: 0, ORE: 1, SHEEP: 0, CORN: 3
01-07-2016 18:06:17.707 [Thread-5] AIInputHandler:285 handle - Wood: 4, CLay: 0, ORE: 1, SHEEP: 0, CORN: 3
01-07-2016 18:06:17.918 [Thread-5] AIInputHandler:285 handle - Wood: 4, CLay: 0, ORE: 3, SHEEP: 0, CORN: 3
01-07-2016 18:06:17.959 [Thread-5] AIInputHandler:285 handle - Wood: 4, CLay: 0, ORE: 3, SHEEP: 0, CORN: 5
01-07-2016 18:06:17.998 [Thread-5] AIInputHandler:285 handle - Wood: 4, CLay: 0, ORE: 3, SHEEP: 0, CORN: 5
01-07-2016 18:06:18.197 [Thread-5] AIInputHandler:285 handle - Wood: 4, CLay: 0, ORE: 3, SHEEP: 0, CORN: 5
01-07-2016 18:06:18.238 [Thread-5] AIInputHandler:285 handle - Wood: 4, CLay: 0, ORE: 3, SHEEP: 0, CORN: 5
01-07-2016 18:06:18.276 [Thread-5] AIInputHandler:285 handle - Wood: 4, CLay: 0, ORE: 3, SHEEP: 0, CORN: 5
01-07-2016 18:06:18.835 [Thread-5] AIInputHandler:285 handle - Wood: 4, CLay: 0, ORE: 3, SHEEP: 0, CORN: 5
01-07-2016 18:06:18.882 [Thread-5] AIInputHandler:285 handle - Wood: 4, CLay: 0, ORE: 3, SHEEP: 2, CORN: 5
01-07-2016 18:06:18.925 [Thread-5] AIInputHandler:285 handle - Wood: 4, CLay: 0, ORE: 3, SHEEP: 2, CORN: 5
01-07-2016 18:06:19.179 [Thread-5] AIInputHandler:285 handle - Wood: 4, CLay: 0, ORE: 3, SHEEP: 2, CORN: 7
01-07-2016 18:06:19.219 [Thread-5] AIInputHandler:285 handle - Wood: 4, CLay: 0, ORE: 5, SHEEP: 2, CORN: 7
01-07-2016 18:06:19.258 [Thread-5] AIInputHandler:285 handle - Wood: 4, CLay: 0, ORE: 5, SHEEP: 2, CORN: 7
01-07-2016 18:06:19.425 [Thread-5] AIInputHandler:285 handle - Wood: 4, CLay: 0, ORE: 5, SHEEP: 2, CORN: 11
01-07-2016 18:06:19.465 [Thread-5] AIInputHandler:285 handle - Wood: 4, CLay: 0, ORE: 5, SHEEP: 4, CORN: 11
01-07-2016 18:06:19.507 [Thread-5] AIInputHandler:285 handle - Wood: 4, CLay: 0, ORE: 5, SHEEP: 4, CORN: 11
01-07-2016 18:06:19.674 [Thread-5] AIInputHandler:285 handle - Wood: 4, CLay: 0, ORE: 5, SHEEP: 4, CORN: 11
01-07-2016 18:06:19.716 [Thread-5] AIInputHandler:285 handle - Wood: 4, CLay: 0, ORE: 5, SHEEP: 4, CORN: 11
01-07-2016 18:06:19.755 [Thread-5] AIInputHandler:285 handle - Wood: 4, CLay: 0, ORE: 5, SHEEP: 4, CORN: 11
01-07-2016 18:06:19.931 [Thread-5] AIInputHandler:285 handle - Wood: 4, CLay: 0, ORE: 5, SHEEP: 6, CORN: 11
01-07-2016 18:06:19.970 [Thread-5] AIInputHandler:285 handle - Wood: 4, CLay: 0, ORE: 5, SHEEP: 6, CORN: 11
01-07-2016 18:06:20.009 [Thread-5] AIInputHandler:285 handle - Wood: 4, CLay: 0, ORE: 5, SHEEP: 6, CORN: 11
01-07-2016 18:06:20.052 [Thread-5] AIInputHandler:285 handle - Wood: 4, CLay: 0, ORE: 5, SHEEP: 6, CORN: 11
01-07-2016 18:06:20.095 [Thread-5] AIInputHandler:285 handle - Wood: 0, CLay: 0, ORE: 0, SHEEP: 2, CORN: 11
01-07-2016 18:06:20.318 [Thread-5] AIInputHandler:285 handle - Wood: 0, CLay: 0, ORE: 0, SHEEP: 2, CORN: 13
01-07-2016 18:06:20.358 [Thread-5] AIInputHandler:285 handle - Wood: 0, CLay: 0, ORE: 0, SHEEP: 2, CORN: 13
01-07-2016 18:06:20.402 [Thread-5] AIInputHandler:285 handle - Wood: 0, CLay: 0, ORE: 0, SHEEP: 0, CORN: 8
01-07-2016 18:06:20.406 [Thread-5] AIInputHandler:285 handle - Wood: 0, CLay: 0, ORE: 0, SHEEP: 0, CORN: 8
01-07-2016 18:06:20.446 [Thread-5] AIInputHandler:285 handle - Wood: 0, CLay: 0, ORE: 0, SHEEP: 0, CORN: 8
01-07-2016 18:06:20.485 [Thread-5] AIInputHandler:285 handle - Wood: 0, CLay: 0, ORE: 0, SHEEP: 0, CORN: 8
01-07-2016 18:06:20.524 [Thread-5] AIInputHandler:285 handle - Wood: 0, CLay: 0, ORE: 0, SHEEP: 0, CORN: 8
01-07-2016 18:06:20.570 [Thread-5] AIInputHandler:285 handle - Wood: 0, CLay: 0, ORE: 0, SHEEP: 0, CORN: 4
01-07-2016 18:06:20.770 [Thread-5] AIInputHandler:285 handle - Wood: 0, CLay: 0, ORE: 0, SHEEP: 0, CORN: 6
01-07-2016 18:06:20.810 [Thread-5] AIInputHandler:285 handle - Wood: 0, CLay: 0, ORE: 0, SHEEP: 0, CORN: 6
01-07-2016 18:06:20.848 [Thread-5] AIInputHandler:285 handle - Wood: 0, CLay: 0, ORE: 0, SHEEP: 0, CORN: 6
01-07-2016 18:06:21.049 [Thread-5] AIInputHandler:285 handle - Wood: 0, CLay: 0, ORE: 2, SHEEP: 0, CORN: 8
01-07-2016 18:06:21.089 [Thread-5] AIInputHandler:285 handle - Wood: 0, CLay: 0, ORE: 4, SHEEP: 0, CORN: 8
01-07-2016 18:06:21.129 [Thread-5] AIInputHandler:285 handle - Wood: 0, CLay: 0, ORE: 4, SHEEP: 0, CORN: 8
01-07-2016 18:06:21.307 [Thread-5] AIInputHandler:285 handle - Wood: 2, CLay: 0, ORE: 4, SHEEP: 0, CORN: 8
01-07-2016 18:06:21.347 [Thread-5] AIInputHandler:285 handle - Wood: 4, CLay: 0, ORE: 4, SHEEP: 0, CORN: 8
01-07-2016 18:06:21.387 [Thread-5] AIInputHandler:285 handle - Wood: 4, CLay: 0, ORE: 4, SHEEP: 0, CORN: 8
01-07-2016 18:06:21.587 [Thread-5] AIInputHandler:285 handle - Wood: 4, CLay: 0, ORE: 4, SHEEP: 0, CORN: 8
01-07-2016 18:06:21.628 [Thread-5] AIInputHandler:285 handle - Wood: 4, CLay: 0, ORE: 4, SHEEP: 0, CORN: 8
01-07-2016 18:06:21.668 [Thread-5] AIInputHandler:285 handle - Wood: 4, CLay: 0, ORE: 4, SHEEP: 0, CORN: 8
01-07-2016 18:06:21.834 [Thread-5] AIInputHandler:285 handle - Wood: 6, CLay: 0, ORE: 4, SHEEP: 0, CORN: 8
01-07-2016 18:06:21.874 [Thread-5] AIInputHandler:285 handle - Wood: 6, CLay: 0, ORE: 4, SHEEP: 0, CORN: 8
01-07-2016 18:06:21.916 [Thread-5] AIInputHandler:285 handle - Wood: 6, CLay: 0, ORE: 4, SHEEP: 0, CORN: 8
01-07-2016 18:06:22.120 [Thread-5] AIInputHandler:285 handle - Wood: 6, CLay: 0, ORE: 4, SHEEP: 0, CORN: 8
01-07-2016 18:06:22.160 [Thread-5] AIInputHandler:285 handle - Wood: 6, CLay: 0, ORE: 4, SHEEP: 0, CORN: 8
01-07-2016 18:06:22.202 [Thread-5] AIInputHandler:285 handle - Wood: 0, CLay: 0, ORE: 1, SHEEP: 0, CORN: 8
01-07-2016 18:06:22.204 [Thread-5] AIInputHandler:285 handle - Wood: 0, CLay: 0, ORE: 1, SHEEP: 0, CORN: 8
01-07-2016 18:06:22.246 [Thread-5] AIInputHandler:285 handle - Wood: 0, CLay: 0, ORE: 1, SHEEP: 0, CORN: 8
01-07-2016 18:06:22.288 [Thread-5] AIInputHandler:285 handle - Wood: 0, CLay: 0, ORE: 1, SHEEP: 0, CORN: 8
01-07-2016 18:06:22.457 [Thread-5] AIInputHandler:285 handle - Wood: 0, CLay: 0, ORE: 3, SHEEP: 0, CORN: 8
01-07-2016 18:06:22.498 [Thread-5] AIInputHandler:285 handle - Wood: 0, CLay: 0, ORE: 3, SHEEP: 0, CORN: 9
01-07-2016 18:06:22.536 [Thread-5] AIInputHandler:285 handle - Wood: 0, CLay: 0, ORE: 3, SHEEP: 0, CORN: 9
01-07-2016 18:06:22.739 [Thread-5] AIInputHandler:285 handle - Wood: 0, CLay: 0, ORE: 5, SHEEP: 0, CORN: 9
01-07-2016 18:06:22.783 [Thread-5] AIInputHandler:285 handle - Wood: 2, CLay: 0, ORE: 5, SHEEP: 0, CORN: 9
01-07-2016 18:06:22.827 [Thread-5] AIInputHandler:285 handle - Wood: 2, CLay: 0, ORE: 5, SHEEP: 0, CORN: 9
01-07-2016 18:06:22.992 [Thread-5] AIInputHandler:285 handle - Wood: 2, CLay: 0, ORE: 5, SHEEP: 0, CORN: 9
01-07-2016 18:06:23.033 [Thread-5] AIInputHandler:285 handle - Wood: 2, CLay: 0, ORE: 5, SHEEP: 0, CORN: 9
01-07-2016 18:06:23.075 [Thread-5] AIInputHandler:285 handle - Wood: 2, CLay: 0, ORE: 5, SHEEP: 0, CORN: 9
01-07-2016 18:06:23.201 [Thread-5] AIInputHandler:285 handle - Wood: 2, CLay: 0, ORE: 7, SHEEP: 0, CORN: 9
01-07-2016 18:06:23.245 [Thread-5] AIInputHandler:285 handle - Wood: 0, CLay: 0, ORE: 0, SHEEP: 0, CORN: 9
01-07-2016 18:06:23.324 [Thread-5] AIInputHandler:285 handle - Wood: 0, CLay: 0, ORE: 0, SHEEP: 0, CORN: 9
01-07-2016 18:06:23.367 [Thread-5] AIInputHandler:285 handle - Wood: 2, CLay: 0, ORE: 0, SHEEP: 0, CORN: 9
01-07-2016 18:06:23.405 [Thread-5] AIInputHandler:285 handle - Wood: 2, CLay: 0, ORE: 0, SHEEP: 0, CORN: 9
01-07-2016 18:06:23.577 [Thread-5] AIInputHandler:285 handle - Wood: 2, CLay: 0, ORE: 2, SHEEP: 0, CORN: 9
01-07-2016 18:06:23.618 [Thread-5] AIInputHandler:285 handle - Wood: 2, CLay: 0, ORE: 2, SHEEP: 0, CORN: 9
01-07-2016 18:06:23.659 [Thread-5] AIInputHandler:285 handle - Wood: 2, CLay: 0, ORE: 2, SHEEP: 0, CORN: 9
01-07-2016 18:06:23.705 [Thread-5] AIInputHandler:285 handle - Wood: 2, CLay: 0, ORE: 2, SHEEP: 0, CORN: 9
01-07-2016 18:06:23.747 [Thread-5] AIInputHandler:285 handle - Wood: 0, CLay: 0, ORE: 0, SHEEP: 0, CORN: 7
01-07-2016 18:06:24.366 [Thread-5] AIInputHandler:285 handle - Wood: 0, CLay: 0, ORE: 0, SHEEP: 0, CORN: 7
01-07-2016 18:06:24.407 [Thread-5] AIInputHandler:285 handle - Wood: 0, CLay: 0, ORE: 0, SHEEP: 0, CORN: 7
01-07-2016 18:06:24.446 [Thread-5] AIInputHandler:285 handle - Wood: 0, CLay: 0, ORE: 0, SHEEP: 0, CORN: 7
01-07-2016 18:06:24.619 [Thread-5] AIInputHandler:285 handle - Wood: 0, CLay: 0, ORE: 2, SHEEP: 0, CORN: 7
01-07-2016 18:06:24.664 [Thread-5] AIInputHandler:285 handle - Wood: 0, CLay: 0, ORE: 2, SHEEP: 2, CORN: 7
01-07-2016 18:06:24.710 [Thread-5] AIInputHandler:285 handle - Wood: 0, CLay: 0, ORE: 1, SHEEP: 1, CORN: 6
01-07-2016 18:06:24.743 [Thread-5] AIInputHandler:285 handle - Wood: 0, CLay: 0, ORE: 1, SHEEP: 1, CORN: 6
01-07-2016 18:06:24.949 [Thread-5] AIInputHandler:285 handle - Wood: 0, CLay: 0, ORE: 1, SHEEP: 1, CORN: 8
01-07-2016 18:06:24.989 [Thread-5] AIInputHandler:285 handle - Wood: 0, CLay: 0, ORE: 1, SHEEP: 1, CORN: 8
01-07-2016 18:06:25.032 [Thread-5] AIInputHandler:285 handle - Wood: 0, CLay: 0, ORE: 0, SHEEP: 0, CORN: 7
01-07-2016 18:06:25.066 [Thread-5] AIInputHandler:285 handle - Wood: 0, CLay: 0, ORE: 0, SHEEP: 0, CORN: 7
01-07-2016 18:06:25.227 [Thread-5] AIInputHandler:285 handle - Wood: 0, CLay: 0, ORE: 2, SHEEP: 0, CORN: 7
01-07-2016 18:06:25.267 [Thread-5] AIInputHandler:285 handle - Wood: 0, CLay: 0, ORE: 2, SHEEP: 0, CORN: 7
01-07-2016 18:06:25.306 [Thread-5] AIInputHandler:285 handle - Wood: 0, CLay: 0, ORE: 2, SHEEP: 0, CORN: 7
